stop_id,trias_ref,stop_name,latitude,longitude,probability,weather_timestamp,temperature,precipitation_mm,wind_speed_ms,wind_direction_deg,cloud_cover,pressure_hpa,relative_humidity,condition,icon
de:08416:11000#40,de:08416:11000,Tübingen Hauptbahnhof,48.5164,9.05641,0.672797918,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10501#2,de:08416:10501,Tübingen Neckarbrücke,48.51908,9.05822,0.662435234,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10501#3,de:08416:10501,Tübingen Neckarbrücke,48.51926,9.05816,0.654663205,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10046,de:08416:10046,Tübingen Ernst-Bloch-Straße,48.51521,9.04207,0.652072549,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10046#2,de:08416:10046,Tübingen Ernst-Bloch-Straße,48.51545,9.04217,0.649481893,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10056,de:08416:10056,Tübingen Gerstenmühlstr.,48.52059,9.04682,0.646891177,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10056#2,de:08416:10056,Tübingen Gerstenmühlstr.,48.52066,9.04673,0.64430052,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10017,de:08416:10017,Tübingen Weberstraße,48.52216,9.04846,0.633937836,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10017#2,de:08416:10017,Tübingen Weberstraße,48.52225,9.04845,0.631347179,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10499,de:08416:10499,Tübingen Mühlstraße,48.51948,9.05861,0.626165748,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#41,de:08416:11000,Tübingen Hauptbahnhof,48.51476,9.05574,0.623575091,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#42,de:08416:11000,Tübingen Hauptbahnhof,48.51523,9.05583,0.623575091,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10518,de:08416:10518,Tübingen Poststraße,48.51696,9.05935,0.618393779,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#43,de:08416:11000,Tübingen Hauptbahnhof,48.51496,9.05633,0.605440378,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10040,de:08416:10040,Tübingen Schleifmühleweg,48.52053,9.04442,0.579533696,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10052,de:08416:10052,Tübingen Schwärzlocher Str. 45,48.51931,9.04412,0.574352324,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10018,de:08416:10018,Tübingen Kelternplatz,48.52285,9.05075,0.574352324,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10040#2,de:08416:10040,Tübingen Schleifmühleweg,48.5206,9.04422,0.571761608,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10039,de:08416:10039,Tübingen Hermann Hepper Halle,48.52232,9.04641,0.569170952,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10700,de:08416:10700,Tübingen Hegelstraße,48.51346,9.05136,0.566580296,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10904,de:08416:10904,Tübingen Freibad,48.51051,9.04342,0.566580296,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10700#2,de:08416:10700,Tübingen Hegelstraße,48.51331,9.05139,0.561398983,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10039#2,de:08416:10039,Tübingen Hermann Hepper Halle,48.52223,9.04586,0.522538841,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10904#2,de:08416:10904,Tübingen Freibad,48.51019,9.04283,0.449999988,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
