group,n,mean,median,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,late_share,n_total,n_late
OVERALL: delay_minutes (late only; delay>0),35354,3.2027238784861685,1.7,3.149265005374215,3.258160109181422,1.6,1.7,0.18907095642501123,186988.0,35354.0
weekday=Friday,32825,0.5544798172124905,0.0,0.5303896420411272,0.5787231530845391,0.0,0.0,,,
weekday=Wednesday,31697,0.6684607376092374,0.0,0.6396177871722876,0.6946125027605136,0.0,0.0,,,
weekday=Thursday,30738,0.7633710716377122,0.0,0.7278810430086537,0.800073849957707,0.0,0.0,,,
weekday=Tuesday,28839,0.7277575505392003,0.0,0.695267086237387,0.7591110128645236,0.0,0.0,,,
weekday=Monday,26684,0.6792759706190976,0.0,0.6481061684904812,0.7118470806475791,0.0,0.0,,,
"stop_busyness_bin=(60178.0, 75519.0] | daypart=Mittag (10-15)",26582,0.5278910540967572,0.0,0.5036536001805734,0.5532899142276728,0.0,0.0,,,
daypart=Spät (20-23),26138,0.28350294590251746,0.0,0.2613970081873135,0.30682368582140934,0.0,0.0,,,
destination=Tübingen WHO Ulmenweg,23035,0.3227132624267419,0.0,0.30299055784675494,0.3451098328630345,0.0,0.0,,,
line_name=5,22326,0.35276359401594554,0.0,0.3304125235151841,0.37739082235958077,0.0,0.0,,,
weekday=Saturday,20728,0.36222983404091086,0.0,0.3395735237360093,0.3879284060208413,0.0,0.0,,,
"stop_busyness_bin=(16179.0, 60178.0] | daypart=Mittag (10-15)",20666,0.3520323236233427,0.0,0.3253881980063873,0.3817079986451175,0.0,0.0,,,
"stop_busyness_bin=(60178.0, 75519.0] | daypart=Abend-Peak (16-19)",18930,0.9741996830427891,0.0,0.9280047543581617,1.0216356312731114,0.0,0.0,,,
"stop_busyness_bin=(60178.0, 75519.0] | daypart=Morgen-Peak (6-9)",17799,0.46889151075903135,0.0,0.4376473397381876,0.5026543626046407,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0] | daypart=Mittag (10-15)",16974,0.7147637563332155,0.0,0.6813127430187346,0.7518504772004242,0.0,0.0,,,
stop_name=Tübingen Poststraße,16179,0.8441745472526114,0.0,0.7966158291612584,0.8946279127263737,0.0,0.0,,,
weekday=Sunday,15477,0.2425340828325903,0.0,0.22020950442592235,0.267094236609162,0.0,0.0,,,
"stop_busyness_bin=(16179.0, 60178.0] | daypart=Abend-Peak (16-19)",14939,0.8112658143115336,0.0,0.7650137224713837,0.8633635116138966,0.0,0.0,,,
"stop_busyness_bin=(16179.0, 60178.0] | daypart=Morgen-Peak (6-9)",14562,0.38682873231698944,0.0,0.35239888064826264,0.42279288559263833,0.0,0.0,,,
line_name=3,14268,0.348107653490328,0.0,0.3261771096159238,0.37110351836276984,0.0,0.0,,,
line_name=4,14075,0.33074955595026645,0.0,0.3022232682060391,0.36288472468916516,0.0,0.0,,,
hour=16,13765,1.0688194696694515,0.0,1.008452597166727,1.127832546313113,0.0,0.0,,,
condition=rain,13585,0.6021862348178139,0.0,0.5579746043430254,0.6445723224144276,0.0,0.0,,,
destination=Tübingen WHO Ahornweg,13183,0.31050595463854963,0.0,0.27905958431313055,0.341790373966472,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0] | daypart=Abend-Peak (16-19)",12540,1.2502791068580539,0.0,1.1899898325358853,1.3166712519936203,0.0,0.0,,,
line_name=6,12449,0.40779982327897824,0.0,0.3664228050445819,0.4528321551931882,0.0,0.0,,,
hour=8,12083,0.7269717785318216,0.0,0.6852162128610445,0.7722099230323596,0.0,0.0,,,
hour=18,11969,0.9040939092656028,0.0,0.8549822458016542,0.9547524855877683,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0] | daypart=Morgen-Peak (6-9)",11791,0.6263166822152489,0.0,0.5721274701043169,0.6822510813332202,0.0,0.0,,,
hour=17,11759,1.3437792329279699,0.0,1.2750639935368655,1.4157245514074326,0.0,0.0,,,
hour=14,11298,0.6731545406266597,0.0,0.6305394760134537,0.7142246415294742,0.0,0.0,,,
hour=7,11297,0.44499424626006906,0.0,0.39858192440470924,0.4958936000708153,0.0,0.0,,,
hour=12,11289,0.4045531047922756,0.0,0.3636090442023208,0.44983723093276645,0.0,0.0,,,
hour=15,11230,0.7695102404274266,0.0,0.7198394924309884,0.8203154496883347,0.0,0.0,,,
hour=10,11158,0.36274421939415663,0.0,0.33736175837963794,0.39270568202186773,0.0,0.0,,,
hour=6,10627,0.20050813964430225,0.0,0.1731996330102569,0.22915357109250026,0.0,0.0,,,
line_name=2,10548,0.45136518771331047,0.0,0.4101222980659841,0.496349307925673,0.0,0.0,,,
line_name=1,10338,0.5020023215322112,0.0,0.45583260785451735,0.5462330721609595,0.0,0.0,,,
hour=11,10254,0.3242832065535401,0.0,0.29897942266432614,0.3530088258240686,0.0,0.0,,,
hour=9,10145,0.5344307540660425,0.0,0.47723410547067524,0.6004960571710203,0.0,0.0,,,
"stop_busyness_bin=(60178.0, 75519.0] | daypart=Spät (20-23)",9621,0.24067144787444134,0.0,0.20936415133562,0.27302021619374284,0.0,0.0,,,
line_name=9,9025,0.519191135734072,0.0,0.48008781163434905,0.5594925207756233,0.0,0.0,,,
hour=13,8993,0.5841543422662071,0.0,0.5363240853997554,0.6338099077059934,0.0,0.0,,,
hour=19,8916,0.5501009421265141,0.0,0.507115017945267,0.5980638739344998,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0] | daypart=Spät (20-23)",8669,0.4082131733763987,0.0,0.3595890529472834,0.4585430845541585,0.0,0.0,,,
line_name=8,8202,0.10293830772982199,0.0,0.08063612533528408,0.1275185930260912,0.0,0.0,,,
line_name=22,8001,0.7148356455443069,0.0,0.664566616672916,0.7669500687414073,0.0,0.0,,,
line_name=18,7888,2.1117773833671394,1.0,2.0446821120689656,2.181643635902637,1.0,1.1,,,
"stop_busyness_bin=(16179.0, 60178.0] | daypart=Spät (20-23)",7848,0.19825433231396536,0.0,0.1675321738022426,0.2308763379204893,0.0,0.0,,,
line_name=12,7651,0.4195922101686054,0.0,0.38637857796366487,0.4554192262449353,0.0,0.0,,,
hour=20,7550,0.3409801324503311,0.0,0.30201721854304636,0.38173344370860923,0.0,0.0,,,
destination=Tübingen Derend. Käppele,7547,0.23902212799787995,0.0,0.21589307009407713,0.26345865906982907,0.0,0.0,,,
stop_name=Tübingen Hegelstraße,7208,0.7907325194228635,0.0,0.7135391231964484,0.87941557991121,0.0,0.0,,,
stop_name=Tübingen Freibad,7139,1.3744361955455944,0.0,1.2993693094270906,1.4502115142176775,0.0,0.0,,,
line_name=7,6919,0.7893626246567423,0.0,0.728142433877728,0.8549205087440381,0.0,0.0,,,
hour=22,6589,0.2184398239490059,0.0,0.18627978448930033,0.2543238731218697,0.0,0.0,,,
line_name=10,6516,0.4483578882750153,0.0,0.4022003529772866,0.49871086556169425,0.0,0.0,,,
hour=21,6456,0.3931536555142503,0.0,0.3283867719950434,0.46224364931846335,0.0,0.0,,,
destination=Hagelloch Dornäckerweg,6235,0.5349639133921411,0.0,0.48504771451483564,0.5863865276663993,0.0,0.0,,,
line_name=19,6126,1.0079823702252693,0.0,0.9427668952007835,1.0750575416258572,0.0,0.0,,,
line_name=21,6121,0.8487992158144094,0.0,0.7604619343244567,0.9436991504656101,0.0,0.0,,,
daypart=Nacht (0-5),6067,0.7871600461513103,0.0,0.7023504203065766,0.8766148837975934,0.0,0.0,,,
is_rainy=True,6063,0.8282203529605806,0.0,0.7545068447963056,0.907999340260597,0.0,0.0,,,
line_name=13,5773,0.22303828165598474,0.0,0.1720058894855361,0.2823848085917201,0.0,0.0,,,
hour=23,5543,0.15484394732094534,0.0,0.13564676168139997,0.17584430813638824,0.0,0.0,,,
destination=Tübingen Bismarckturm,5521,0.3774859626879189,0.0,0.3256715268973012,0.43440409346132935,0.0,0.0,,,
line_name=11,5150,0.5780194174757282,0.0,0.5163087378640776,0.6451669902912622,0.0,0.0,,,
line_name=7625,4959,0.9282314982859449,0.0,0.8328786045573704,1.0286353095382132,0.0,0.0,,,
destination=Tübingen BG Unfallklinik,4819,1.0046275160821747,0.0,0.9282522307532681,1.082636957875078,0.0,0.0,,,
condition=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
wind_bin=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
cloud_bin=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
destination=Tübingen Hagellocher Weg,4716,0.684245122985581,0.0,0.615178117048346,0.7572529686174724,0.0,0.0,,,
line_name=16,4680,1.05241452991453,0.0,0.9705929487179487,1.1402996794871796,0.0,0.0,,,
destination=Tübingen Wennf. Garten,4600,0.3617391304347826,0.0,0.31049891304347826,0.417395652173913,0.0,0.0,,,
destination=Tübingen Nelkenweg,4588,0.26669572798605057,0.0,0.233145706190061,0.3022689625108979,0.0,0.0,,,
destination=Tübingen Schwärzlocher Str. 45,4433,0.6449808256259869,0.0,0.5711121136927589,0.7255673358899165,0.0,0.0,,,
date=2025-12-04,4107,1.0341855368882398,0.0,0.9082207207207208,1.1727678354029705,0.0,0.0,,,
date=2025-11-27,3942,0.7295281582952816,0.0,0.6640639269406394,0.7979788178589546,0.0,0.0,,,
date=2025-12-02,3936,1.4320630081300811,0.0,1.3138967225609757,1.55065231199187,0.0,0.0,,,
date=2025-11-25,3917,0.8388562675516976,0.0,0.7620806739851927,0.924280699514935,0.0,0.0,,,
date=2025-11-21,3788,0.4597148891235481,0.0,0.4136642027455122,0.5111140443505807,0.0,0.0,,,
destination=Tübingen Schwabstraße,3746,0.29386011745862256,0.0,0.2522417245061399,0.3405272290443139,0.0,0.0,,,
date=2025-12-05,3737,0.9165640888413165,0.0,0.8259024618678084,1.0137958255284987,0.0,0.0,,,
date=2025-12-01,3649,0.7552480131542889,0.0,0.6796889558783228,0.8407892573307755,0.0,0.0,,,
destination=Tübingen Hirschauer Straße,3597,0.4605226577703642,0.0,0.38605504587155964,0.5406463719766472,0.0,0.0,,,
date=2025-11-26,3538,0.5916054267947994,0.0,0.5335175240248727,0.6543767665347653,0.0,0.0,,,
date=2025-12-09,3521,1.1402442487929565,0.0,1.0353280318091453,1.2593020448736156,0.0,0.0,,,
destination=Tübingen Egeriaplatz,3515,0.9770412517780938,0.0,0.8558328591749643,1.1114246088193456,0.0,0.0,,,
date=2026-01-07,3514,0.5200056915196357,0.0,0.4298057768924303,0.6213773477518497,0.0,0.0,,,
destination=Tübingen Stauden,3480,0.5975574712643679,0.0,0.5054497126436781,0.6980589080459769,0.0,0.0,,,
date=2025-11-28,3471,1.0494382022471909,0.0,0.9282029674445406,1.169551282051282,0.0,0.0,,,
precip_bin=0-0.5,3456,0.6524016203703703,0.0,0.5821462673611111,0.7255533854166666,0.0,0.0,,,
date=2025-12-12,3414,0.8318101933216169,0.0,0.7603873755125952,0.9074838898652606,0.0,0.0,,,
date=2025-12-19,3295,0.37714719271623676,0.0,0.3147109256449166,0.4512602427921093,0.0,0.0,,,
date=2025-11-24,3288,0.6611618004866179,0.0,0.5911473540145985,0.7349802311435523,0.0,0.0,,,
date=2025-12-17,3252,0.44185116851168516,0.0,0.38093250307503074,0.5120541205412054,0.0,0.0,,,
date=2026-01-08,3247,0.664767477671697,0.0,0.5464220819217741,0.7943709578072067,0.0,0.0,,,
date=2025-12-10,3243,1.0491211840888066,0.0,0.9592560900400864,1.144205211224175,0.0,0.0,,,
date=2026-01-20,3242,0.5632942628007404,0.0,0.49281153608883405,0.6394309068476249,0.0,0.0,,,
date=2025-12-03,3241,0.937179882752237,0.0,0.8474953717988276,1.0306764887380437,0.0,0.0,,,
destination=Pfrondorf Lusstraße,3228,0.17561957868649317,0.0,0.10980173482032221,0.2480885997521685,0.0,0.0,,,
date=2025-12-11,3216,1.713712686567164,0.0,1.5349650186567165,1.9096688432835818,0.0,0.0,,,
date=2026-01-21,3170,0.6210094637223975,0.0,0.5290481072555204,0.7178470031545741,0.0,0.0,,,
stop_name=Tübingen Haagtor,3098,0.67453195610071,0.0,0.5988290832795352,0.7510046804389929,0.0,0.0,,,
stop_name=Tübingen Hermann Hepper Halle,3096,0.4333656330749354,0.0,0.3743846899224806,0.49723271963824284,0.0,0.0,,,
